Name,Description,Style Name,Collection,Fabric Color,Finish Color,Color,Multi Color,Item Cubes,Group Number,Group Name,Kit,Price,Warehouse,Stock,UPC,Wood Finish,Fabric Cleaning Code ,Category,Sub Category,Promotion,Featured,Catalog Intro,Room Name,Type Of Packaging,Country of Origin,Material,Chemical List,Assembly Required,Box Length,Box Width,Box Height,Box Weight,Item Description,Length,Width,Depth,Height,Diameter,Depth Open,Height Open,Seat Width,Seat Depth,Seat Height,Arm Height,Desk Clearance,Shelf Distance
,Apollo IV Queen Bed,Casual,Apollo,Blue,,Black,0,,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,Catalog,Room,fvgd,dfs,Data,,0,101,89,39,1,Description,,0,0,0,0,0,0,0,0,,0,0,
King Bed - Apollo IV,King Bed - Apollo IV,Casual,Apollo,,,"Black,Red",1,6,1111802,xxgcg,,12,premierclubfurniture,1,vg44g,,,Bed,Full Bed,0,0,Catalog,,,sdf,Data,,0,101,105,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Bed - Apollo III,Queen Bed - Apollo III,Casual,Apollo,,,Black,0,,,,xvc,12,premierclubfurniture,1,,xcvx,,Bed,Full Bed,0,0,Catalog,Room,, ,Data,,0,101,89,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
King Bed - Apollo III,King Bed - Apollo III,Casual,Apollo,,,Black,0,,,,,12,premierclubfurniture,1,,,t453b,Bed,Full Bed,0,0,Catalog,,,,Data,,0,101,105,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Bed - Apollo II,Queen Bed - Apollo II,Casual,Apollo,,,Black,0,,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,Catalog,,,,Data,,0,101,89,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
King Bed - Apollo II,King Bed - Apollo II,Casual,Apollo,,Red,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,101,105,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
King Bed – Apollo I,King Bed – Apollo I,Casual,Apollo,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,101,105,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Bed – Apollo I,Queen Bed – Apollo I,Casual,Apollo,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,101,89,39,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Navy Velvet Twin Bed,Arya Navy Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,0,0,0,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya White Velvet Twin Bed,Arya White Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,0,0,0,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
