Name,Description,Style,Collection,Fabric Color,Finish Color,Color,Multi Color,Item Cubes,Group Number,Group Name,Kit Type,Price,Warehouse,Stock,UPC,Wood Finish,Fabric Cleaning Code ,Category,Sub Category,Promotion,Featured,Item Description,Catalog Intro,Room Name,Type Of Packaging,Country of Origin,,,,,,Assembly Required,Box Length,Box Width,Box Height,Box Weight,,,,,Hide,New Arrival,Hot,,
Queen Bed – Apollo IV,Apollo IV Queen Bed,Casual,Apollo,Blue,NULL,Black,0,NULL,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,Catalog,Room,fvgd,NULL,NULL,NULL,NULL,NULL,NULL,0,101,89,39,1,NULL,NULL,NULL,NULL,0,0,0,,
King Bed - Apollo IV,King Bed - Apollo IV,Casual,Apollo,,,"Black,Red",1,NULL,1111802,xxgcg,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,Catalog,,,NULL,NULL,NULL,NULL,NULL,NULL,0,101,105,39,1,NULL,NULL,NULL,NULL,0,0,0,,
Queen Bed - Apollo III,Queen Bed - Apollo III,Casual,Apollo,,,Black,0,NULL,,,xvc,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,Catalog,Room,,NULL,NULL,NULL,NULL,NULL,NULL,0,101,89,39,1,NULL,NULL,NULL,NULL,0,0,0,,
King Bed - Apollo III,King Bed - Apollo III,Casual,Apollo,,,Black,0,NULL,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,Catalog,,,NULL,NULL,NULL,NULL,NULL,NULL,0,101,105,39,1,NULL,NULL,NULL,NULL,0,0,0,,
Queen Bed - Apollo II,Queen Bed - Apollo II,Casual,Apollo,,,Black,0,NULL,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,Catalog,,,NULL,NULL,NULL,NULL,NULL,NULL,0,101,89,39,1,NULL,NULL,NULL,NULL,0,0,0,,
King Bed - Apollo II,King Bed - Apollo II,Casual,Apollo,,Red,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,101,105,39,1,NULL,NULL,NULL,NULL,0,0,0,,
King Bed – Apollo I,King Bed – Apollo I,Casual,Apollo,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,101,105,39,1,NULL,NULL,NULL,NULL,0,0,0,,
Queen Bed – Apollo I,Queen Bed – Apollo I,Casual,Apollo,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,101,89,39,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya Navy Velvet Twin Bed,Arya Navy Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya White Velvet Twin Bed,Arya White Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya Black Velvet Queen Bed,Arya Black Velvet Queen Bed,Casual,Arya,,,Black,0,21,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,412,NULL,NULL,NULL,NULL,NULL,0,12,12,12,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya White Velvet King Bed,Arya White Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya Pink Velvet Twin Bed,Arya Pink Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya Grey Velvet Twin Bed,Arya Grey Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya Navy Velvet King Bed,Arya Navy Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,1,1,1,1,NULL,NULL,NULL,NULL,0,0,0,,
Arya Pink Velvet King Bed,Arya Pink Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,NULL,NULL,NULL,Bed,Full Bed,0,0,Description,,,,1,NULL,NULL,NULL,NULL,NULL,0,1,1,1,1,NULL,NULL,NULL,NULL,0,0,0,,
